key,title,label,source,source_id,arxiv_id,doi,s2_paper_id
diva,Distilling an End-to-End Voice Assistant Without Instruction Training Data,U,arxiv,2410.02678v1,2410.02678,,e0b943a7caa0604879417cd0181888930ede8947
hernandez2018ted,TED-LIUM 3: twice as much data and corpus repartition for experiments on speaker adaptation,U,arxiv,1805.04699v4,1805.04699,,c1f39fe16ca72d73170e74fe6920cb553d580766
holtzman2020the,The Curious Case of Neural Text Degeneration,U,arxiv,1904.09751v2,1904.09751,,cf4aa38ae31b43fd07abe13b4ffdb265babb7be1
houlsby2019parameter,Parameter-Efficient Transfer Learning for NLP,U,arxiv,1902.00751v2,1902.00751,,29ddc1f43f28af7c846515e32cc167bc66886d0c
hubert,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,U,arxiv,2106.07447v1,2106.07447,,4fffa5245d3972077c83614c2a08a47cb578631e
lora,LoRA: Low-Rank Adaptation of Large Language Models,U,arxiv,2106.09685v2,2106.09685,,a8ca46b171467ceb2d7652fbfb67fe701ad86092
hu2024chain,Chain-of-Thought Prompting for Speech Translation,U,arxiv,2409.11538v2,2409.11538,,fa72137091c80280e8c9dec1015beaea8aa0abb8
wavllm,WavLLM: Towards Robust and Adaptive Speech Large Language Model,U,semantic_scholar,1a41d449f2ed4051ac4c763fb8b1b07357eaf5f4,,,1a41d449f2ed4051ac4c763fb8b1b07357eaf5f4
huang2024dynamic,"Dynamic-SUPERB: Towards A Dynamic, Collaborative, and Comprehensive Instruction-Tuning Benchmark for Speech",U,arxiv,2309.09510v2,2309.09510,,786294f4008732a5dac9895a8507bc4c80450075
huang2025dynamicsuperb,Dynamic-SUPERB Phase-2: A Collaboratively Expanding Benchmark for Measuring the Capabilities of Spoken Language Models with 180 Tasks,U,arxiv,2411.05361v2,2411.05361,,125858649920909590356c7f9586ad9a5c3163f1
huang2001spoken,"Spoken Language Processing: A Guide to Theory, Algorithm, and System Development",U,openalex,https://openalex.org/W1578856370,,,28bb28488c30e26b047916cbc3276bee213c7ab9
ji2024wavchat,WavChat: A Survey of Spoken Dialogue Models,U,arxiv,2411.13577v2,2411.13577,,3c14dff308d93796db63e7fef99126aa810ec098
jimenez2023swe,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,U,arxiv,2310.06770v3,2310.06770,,94a5f96308729e31c1ffbc0f0618db87795092fe
joshi2017triviaqa,TriviaQA: A Large Scale Distantly Supervised Challenge Dataset for Reading Comprehension,U,arxiv,1705.03551v2,1705.03551,,f010affab57b5fcf1cd6be23df79d8ec98c7289c
ke2023continual,Continual Pre-training of Language Models,U,arxiv,2302.03241v4,2302.03241,,e3ec55e9e6720194a0ed5d4033d93a941c8a4f99
kharitonov2022textless,textless-lib: a Library for Textless Spoken Language Processing,U,arxiv,2202.07359v1,2202.07359,,08ba36fe521389f4692357496091c8b1a71ede00
pGSLM,Text-Free Prosody-Aware Generative Spoken Language Modeling,U,arxiv,2109.03264v2,2109.03264,,65b20b3e6f81f6567e41e353a47a2380c6cc4b77
kharitonov2023speak,"Speak, Read and Prompt: High-Fidelity Text-to-Speech with Minimal Supervision",U,arxiv,2302.03540v1,2302.03540,,071d021ef9dcd83686d7b12bec2e13283b2f048f
Kirkpatrick2017overcoming,Overcoming catastrophic forgetting in neural networks,U,arxiv,1612.00796v2,1612.00796,,2e55ba6c97ce5eb55abd959909403fe8da7e9fe9
koizumi2022wavefit,WaveFit: An Iterative and Non-autoregressive Neural Vocoder based on Fixed-Point Iteration,U,arxiv,2210.01029v1,2210.01029,,1620c9a484bf826fa33fd22d7bc35760a69467b8
kong2020hifi,HiFi-GAN: Generative Adversarial Networks for Efficient and High Fidelity Speech Synthesis,U,arxiv,2010.05646v2,2010.05646,,4e468d3da1797d791db8d514d695b183acb027ee
kreuk2022textless,Textless Speech Emotion Conversion using Discrete & Decomposed Representations,U,semantic_scholar,44ff1432414805bbbff7b7c814c758989d3028c9,,,44ff1432414805bbbff7b7c814c758989d3028c9
kuan2024largeaudiolanguagemodelstruly,Can Large Audio-Language Models Truly Hear? Tackling Hallucinations with Multi-Task Assessment and Stepwise Audio Reasoning,U,arxiv,2410.16130v2,2410.16130,,2a1cb14f40dba897a98988c6744233b5d4350697
kuan2024audiohallucination,"Understanding Sounds, Missing the Questions: The Challenge of Object Hallucination in Large Audio-Language Models",U,arxiv,2406.08402v1,2406.08402,,576023f7cc3da5a36ac0cfda402af859cc90be10
parp,"PARP: Prune, Adjust and Re-Prune for Self-Supervised Speech Recognition",U,arxiv,2106.05933v2,2106.05933,,362635eb7cd72d4ca7414cb257dadbced12fbe8f
lai2023instruction,Instruction-Following Speech Recognition,U,arxiv,2309.09843v1,2309.09843,,c87f1f7ec6fd6b93d6f7626bebf6de2bf0b8c8e8
GSLM,On Generative Spoken Language Modeling from Raw Audio,U,semantic_scholar,7c39adb2049e79951dd6b92c970abaa4d81819b1,,,7c39adb2049e79951dd6b92c970abaa4d81819b1
