key,title,label,source,source_id,arxiv_id,doi,s2_paper_id
Jang2016Gumbel,Categorical Reparameterization with Gumbel-Softmax,B,arxiv,1611.01144v5,1611.01144,,29e944711a354c396fad71936f536e83025b6ce0
maddison2016concrete,The Concrete Distribution: A Continuous Relaxation of Discrete Random Variables,C,arxiv,1611.00712v3,1611.00712,,515a21e90117941150923e559729c59f5fdade1c
della2025focalcodec,FocalCodec: Low-Bitrate Speech Coding via Focal Modulation Networks,A,arxiv,2502.04465v2,2502.04465,,80ea7f6207011c0010f5e6ad021e9f1c3f76e9b5
petermann2021harp,HARP-Net: Hyper-Autoencoded Reconstruction Propagation for Scalable Neural Audio Coding,A,arxiv,2107.10843v2,2107.10843,,9705e445cc705e6a1a4838dcbf8f25eea6c9b0ac
Jiang2022EndtoEndNS,End-to-End Neural Speech Coding for Real-Time Communications,A,arxiv,2201.09429v3,2201.09429,,b6ad8f4fd436afdf50a688e6c9f7e7db1689a8c6
wu2024codecslt,Codec-SUPERB @ SLT 2024: A lightweight benchmark for neural audio codec models,B,arxiv,2409.14085v1,2409.14085,,158cd404a60a284d06dc791c100ac2c0b9121d0a
yang2021source,Source-Aware Neural Speech Coding for Noisy Speech Compression,A,arxiv,2008.12889v2,2008.12889,,007b88ee9416529573fdfa40af436286a7266ee7
omran2023disentangling,Disentangling speech from surroundings with neural embeddings,B,arxiv,2203.15578v2,2203.15578,,de025df9d534593f3d6df197b021c42ca73c77c4
Ji2024LanguageCodecRT,Language-Codec: Bridging Discrete Codec Representations and Speech Language Models,B,arxiv,2402.12208,2402.12208,,4dde7ce8b4c35558b81e8f567734af689ffefa7f
Pan2024PSCodecAS,PSCodec: A Series of High-Fidelity Low-bitrate Neural Speech Codecs Leveraging Prompt Encoders,B,arxiv,2404.02702v3,2404.02702,,cc02b95dacfceb982cb28f44e1689a7422a1973c
yang24h_interspeech,Genhancer: High-Fidelity Speech Enhancement via Generative Modeling on Discrete Codec Tokens,B,semantic_scholar,ed6b910c45a0ab819c98b5fd4f9b8e4ca2ac7482,,,ed6b910c45a0ab819c98b5fd4f9b8e4ca2ac7482
xue24lowlatency,Low-latency Speech Enhancement via Speech Token Generation,B,arxiv,2310.08981v3,2310.08981,,a537ac328efbb271a40c5ea65649484c62041837
Ahn2024HILCodecHA,HILCodec: High-Fidelity and Lightweight Neural Audio Codec,A,arxiv,2405.04752v2,2405.04752,,892cfb5491b051ae42f18f746195a62352cf5769
Ye2024CodecDM,Codec Does Matter: Exploring the Semantic Shortcoming of Codec for Audio Language Model,B,arxiv,2408.17175v3,2408.17175,,2cf8b1b1e7d4ba9d5f2e68e0a34edb5cc690dcaa
Guo2024AddressingIC,Addressing Index Collapse of Large-Codebook Speech Tokenizer with Dual-Decoding Product-Quantized Variational Auto-Encoder,A,arxiv,2406.02940v1,2406.02940,,c3e942369fb09fde0c19786c336fb475e90c6e49
Zhou2024WMCodecEN,WMCodec: End-to-End Neural Speech Codec with Deep Watermarking for Authenticity Verification,A,arxiv,2409.12121v3,2409.12121,,59597f410a2c2a1b28639ef92153c64f71189d6e
Wu2024TS3CodecTS,TS3-Codec: Transformer-Based Simple Streaming Single Codec,B,arxiv,2411.18803v2,2411.18803,,e3ec2c742acbdc06398f1f0aae21f2675db1d358
Jiang2024MDCTCodecAL,MDCTCodec: A Lightweight MDCT-based Neural Audio Codec towards High Sampling Rate and Low Bitrate Scenarios,C,arxiv,2411.00464v1,2411.00464,,943114246d3f0853e9403eb7e25fa902a4045340
Guo2024LSCodecLA,LSCodec: Low-Bitrate and Speaker-Decoupled Discrete Speech Codec,A,arxiv,2410.15764v3,2410.15764,,998886fbbad5b772d6b085609956ca7be2a6f6fd
zaiem2023icassp,Fine-tuning Strategies for Faster Inference using Speech Self-Supervised Models: A Comparative Study,B,arxiv,2303.06740v1,2303.06740,,81e10b7cc460b76ff093bb348c50e83456b2729c
yang2021superb,SUPERB: Speech processing Universal PERformance Benchmark,B,arxiv,2105.01051v4,2105.01051,,d8e81e80490113434f7ac338c5f8d5a23f05a3de
Rabiner:1993dq,Fundamentals of speech recognition,B,semantic_scholar,2392e94df520e707e8b1422311bfdc552954dea9,,,2392e94df520e707e8b1422311bfdc552954dea9
busso2008iemocap,IEMOCAP: interactive emotional dyadic motion capture database,C,semantic_scholar,5cf0d213f3253cd46673d955209f8463db73cc51,,,5cf0d213f3253cd46673d955209f8463db73cc51
lecun2015deep,Deep Learning,C,arxiv,1807.07987v2,1807.07987,,950d423dddf28aaadbca7d58d603bbcc8295affd
GoodBengCour16,Deep Learning,C,arxiv,1807.07987v2,1807.07987,,950d423dddf28aaadbca7d58d603bbcc8295affd
geminiteam2023gemini,Gemini: A Family of Highly Capable Multimodal Models,B,arxiv,2312.11805v5,2312.11805,,
wu2025esi,Towards Efficient Speech-Text Jointly Decoding within One Speech Language Model,B,arxiv,2506.04518v2,2506.04518,,90b719e905154a418b7ab30c2da7de617d96d84b
kumar2023high,High-Fidelity Audio Compression with Improved RVQGAN,A,arxiv,2306.06546v2,2306.06546,,cf8fced1f446c554ca0c5608ae0a1131184212f6
zhang2023speechtokenizer,SpeechTokenizer: Unified Speech Tokenizer for Speech Large Language Models,A,arxiv,2308.16692v2,2308.16692,,5fc1a1f79ea4d1a1c6e8da1a40ae08022a6d7308
wu2023audiodec,AudioDec: An Open-source Streaming High-fidelity Neural Audio Codec,A,arxiv,2305.16608v1,2305.16608,,900509527851a4b694ecb873e96b44712a012931
yang2023hifi,HiFi-Codec: Group-residual Vector quantization for High Fidelity Audio Codec,A,arxiv,2305.02765v2,2305.02765,,90831247f414c50820067ae8c2d4acdbc6c68746
du2023funcodec,"FunCodec: A Fundamental, Reproducible and Integrable Open-source Toolkit for Neural Speech Codec",B,arxiv,2309.07405v2,2309.07405,,3f9a2af2366f2117dfdd22154a22dd5d9fcc4a48
borsos2023audiolm,AudioLM: a Language Modeling Approach to Audio Generation,B,arxiv,2209.03143v2,2209.03143,,8c870bef01a4fbb20f60722ffc2f6bee3870b18b
rubenstein2023audiopalm,AudioPaLM: A Large Language Model That Can Speak and Listen,B,arxiv,2306.12925v1,2306.12925,,3efb81de24eb88017d6dbcf22cb4215084223fd8
wang2024viola,"VioLA: Conditional Language Models for Speech Recognition, Synthesis, and Translation",B,semantic_scholar,66fd85f42596fcd018d517a4bf6acc75100e59da,,,66fd85f42596fcd018d517a4bf6acc75100e59da
